fetched_at,Imeino,Vehicle_No,Vehicle_Name,Company,Branch,Vehicletype,DeviceModel,Status,Power,IGN,GPS,Speed,Angle,course,Odometer,can_odometer,Latitude,Longitude,Location,POI,GPSActualTime,Datetime,Temperature,ExternalVolt,battery_percentage,satellite_count,gps_hdop,Fuel,AC,SOS,Immobilize_State,Door1,Door2,Door3,Door4,elock,Driver_First_Name,Driver_Middle_Name,Driver_Last_Name,Ibutton/RFID,Vin,mcc,mnc,cellid,lac,heartbeat,username,Altitude
2026-05-21T10:11:17,990000000000011,DEMO-0011,Demo Vehicle 0011,Demo Fleet,Branch-12,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,11,143,187,100121,0,-1.100011,36.700033,Mock Yard 12,,2026-05-21T10:12:55,2026-05-21T10:12:55,22,12.1,71,9,0.5,46,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0011,Test,User,TAG-0011,VINDEMO00000011,640,2,20011,511,1,demo-user,1111
2026-05-21T10:12:24,990000000000012,DEMO-0012,Demo Vehicle 0012,Demo Fleet,Branch-13,Truck,DEMO-TRACKER,STOP,OFF,OFF,ON,12,156,204,100132,0,-1.100012,36.700036,Mock Yard 13,,2026-05-21T10:13:00,2026-05-21T10:13:00,23,12.2,72,10,0.6,47,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0012,Test,User,TAG-0012,VINDEMO00000012,640,2,20012,512,0,demo-user,1112
2026-05-21T10:13:31,990000000000013,DEMO-0013,Demo Vehicle 0013,Demo Fleet,Branch-14,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,13,169,221,100143,0,-1.100013,36.700039,Mock Yard 14,,2026-05-21T10:14:05,2026-05-21T10:14:05,24,12.3,73,11,0.7,48,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0013,Test,User,TAG-0013,VINDEMO00000013,640,2,20013,513,1,demo-user,1113
2026-05-21T10:14:38,990000000000014,DEMO-0014,Demo Vehicle 0014,Demo Fleet,Branch-15,Truck,DEMO-TRACKER,STOP,ON,ON,ON,14,182,238,100154,0,-1.100014,36.700042,Mock Yard 15,,2026-05-21T10:15:10,2026-05-21T10:15:10,25,12.4,74,12,0.8,49,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0014,Test,User,TAG-0014,VINDEMO00000014,640,2,20014,514,0,demo-user,1114
2026-05-21T10:15:45,990000000000015,DEMO-0015,Demo Vehicle 0015,Demo Fleet,Branch-16,Truck,DEMO-TRACKER,MOVING,OFF,ON,OFF,15,195,255,100165,0,-1.100015,36.700045,Mock Yard 16,,2026-05-21T10:16:15,2026-05-21T10:16:15,26,12.5,75,8,0.9,50,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0015,Test,User,TAG-0015,VINDEMO00000015,640,2,20015,515,1,demo-user,1115
2026-05-21T10:16:52,990000000000016,DEMO-0016,Demo Vehicle 0016,Demo Fleet,Branch-17,Truck,DEMO-TRACKER,STOP,ON,OFF,ON,16,208,272,100176,0,-1.100016,36.700048,Mock Yard 17,,2026-05-21T10:17:20,2026-05-21T10:17:20,27,12.6,76,9,0.2,51,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0016,Test,User,TAG-0016,VINDEMO00000016,640,2,20016,516,0,demo-user,1116
2026-05-21T10:17:59,990000000000017,DEMO-0017,Demo Vehicle 0017,Demo Fleet,Branch-18,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,17,221,289,100187,0,-1.100017,36.700051,Mock Yard 18,,2026-05-21T10:18:25,2026-05-21T10:18:25,28,12.7,77,10,0.3,52,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0017,Test,User,TAG-0017,VINDEMO00000017,640,2,20017,517,1,demo-user,1117
2026-05-21T10:18:06,990000000000018,DEMO-0018,Demo Vehicle 0018,Demo Fleet,Branch-19,Truck,DEMO-TRACKER,STOP,OFF,ON,ON,18,234,306,100198,0,-1.100018,36.700054,Mock Yard 19,,2026-05-21T10:19:30,2026-05-21T10:19:30,20,12.8,78,11,0.4,53,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0018,Test,User,TAG-0018,VINDEMO00000018,640,2,20018,518,0,demo-user,1118
2026-05-21T10:19:13,990000000000019,DEMO-0019,Demo Vehicle 0019,Demo Fleet,Branch-20,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,19,247,323,100209,0,-1.100019,36.700057,Mock Yard 20,,2026-05-21T10:20:35,2026-05-21T10:20:35,21,12.9,79,12,0.5,54,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0019,Test,User,TAG-0019,VINDEMO00000019,640,2,20019,519,1,demo-user,1119
2026-05-21T10:20:20,990000000000020,DEMO-0020,Demo Vehicle 0020,Demo Fleet,Branch-21,Truck,DEMO-TRACKER,STOP,ON,OFF,OFF,20,260,340,100220,0,-1.100020,36.700060,Mock Yard 21,,2026-05-21T10:21:40,2026-05-21T10:21:40,22,12.0,80,8,0.6,55,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0020,Test,User,TAG-0020,VINDEMO00000020,640,2,20020,520,0,demo-user,1120
2026-05-21T10:21:27,990000000000021,DEMO-0021,Demo Vehicle 0021,Demo Fleet,Branch-22,Truck,DEMO-TRACKER,MOVING,OFF,ON,ON,21,273,357,100231,0,-1.100021,36.700063,Mock Yard 22,,2026-05-21T10:22:45,2026-05-21T10:22:45,23,12.1,81,9,0.7,56,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0021,Test,User,TAG-0021,VINDEMO00000021,640,2,20021,521,1,demo-user,1121
2026-05-21T10:22:34,990000000000022,DEMO-0022,Demo Vehicle 0022,Demo Fleet,Branch-23,Truck,DEMO-TRACKER,STOP,ON,ON,ON,22,286,14,100242,0,-1.100022,36.700066,Mock Yard 23,,2026-05-21T10:23:50,2026-05-21T10:23:50,24,12.2,82,10,0.8,57,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0022,Test,User,TAG-0022,VINDEMO00000022,640,2,20022,522,0,demo-user,1122
2026-05-21T10:23:41,990000000000023,DEMO-0023,Demo Vehicle 0023,Demo Fleet,Branch-24,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,23,299,31,100253,0,-1.100023,36.700069,Mock Yard 24,,2026-05-21T10:24:55,2026-05-21T10:24:55,25,12.3,83,11,0.9,58,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0023,Test,User,TAG-0023,VINDEMO00000023,640,2,20023,523,1,demo-user,1123
2026-05-21T10:24:48,990000000000024,DEMO-0024,Demo Vehicle 0024,Demo Fleet,Branch-01,Truck,DEMO-TRACKER,STOP,OFF,OFF,ON,24,312,48,100264,0,-1.100024,36.700072,Mock Yard 01,,2026-05-21T10:25:00,2026-05-21T10:25:00,26,12.4,84,12,0.2,59,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0024,Test,User,TAG-0024,VINDEMO00000024,640,2,20024,524,0,demo-user,1124
2026-05-21T10:25:55,990000000000025,DEMO-0025,Demo Vehicle 0025,Demo Fleet,Branch-02,Truck,DEMO-TRACKER,MOVING,ON,ON,OFF,25,325,65,100275,0,-1.100025,36.700075,Mock Yard 02,,2026-05-21T10:26:05,2026-05-21T10:26:05,27,12.5,85,8,0.3,60,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0025,Test,User,TAG-0025,VINDEMO00000025,640,2,20025,525,1,demo-user,1125
2026-05-21T10:26:02,990000000000026,DEMO-0026,Demo Vehicle 0026,Demo Fleet,Branch-03,Truck,DEMO-TRACKER,STOP,ON,ON,ON,26,338,82,100286,0,-1.100026,36.700078,Mock Yard 03,,2026-05-21T10:27:10,2026-05-21T10:27:10,28,12.6,86,9,0.4,61,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0026,Test,User,TAG-0026,VINDEMO00000026,640,2,20026,526,0,demo-user,1126
2026-05-21T10:27:09,990000000000027,DEMO-0027,Demo Vehicle 0027,Demo Fleet,Branch-04,Truck,DEMO-TRACKER,MOVING,OFF,ON,ON,27,351,99,100297,0,-1.100027,36.700081,Mock Yard 04,,2026-05-21T10:28:15,2026-05-21T10:28:15,20,12.7,87,10,0.5,62,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0027,Test,User,TAG-0027,VINDEMO00000027,640,2,20027,527,1,demo-user,1127
2026-05-21T10:28:16,990000000000028,DEMO-0028,Demo Vehicle 0028,Demo Fleet,Branch-05,Truck,DEMO-TRACKER,STOP,ON,OFF,ON,28,4,116,100308,0,-1.100028,36.700084,Mock Yard 05,,2026-05-21T10:29:20,2026-05-21T10:29:20,21,12.8,88,11,0.6,63,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0028,Test,User,TAG-0028,VINDEMO00000028,640,2,20028,528,0,demo-user,1128
2026-05-21T10:29:23,990000000000029,DEMO-0029,Demo Vehicle 0029,Demo Fleet,Branch-06,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,29,17,133,100319,0,-1.100029,36.700087,Mock Yard 06,,2026-05-21T10:30:25,2026-05-21T10:30:25,22,12.9,89,12,0.7,64,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0029,Test,User,TAG-0029,VINDEMO00000029,640,2,20029,529,1,demo-user,1129
2026-05-21T10:30:30,990000000000030,DEMO-0030,Demo Vehicle 0030,Demo Fleet,Branch-07,Truck,DEMO-TRACKER,STOP,OFF,ON,OFF,30,30,150,100330,0,-1.100030,36.700090,Mock Yard 07,,2026-05-21T10:31:30,2026-05-21T10:31:30,23,12.0,90,8,0.8,65,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0030,Test,User,TAG-0030,VINDEMO00000030,640,2,20030,530,0,demo-user,1130
2026-05-21T10:31:37,990000000000031,DEMO-0031,Demo Vehicle 0031,Demo Fleet,Branch-08,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,31,43,167,100341,0,-1.100031,36.700093,Mock Yard 08,,2026-05-21T10:32:35,2026-05-21T10:32:35,24,12.1,91,9,0.9,66,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0031,Test,User,TAG-0031,VINDEMO00000031,640,2,20031,531,1,demo-user,1131
2026-05-21T10:32:44,990000000000032,DEMO-0032,Demo Vehicle 0032,Demo Fleet,Branch-09,Truck,DEMO-TRACKER,STOP,ON,OFF,ON,32,56,184,100352,0,-1.100032,36.700096,Mock Yard 09,,2026-05-21T10:33:40,2026-05-21T10:33:40,25,12.2,92,10,0.2,67,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0032,Test,User,TAG-0032,VINDEMO00000032,640,2,20032,532,0,demo-user,1132
2026-05-21T10:33:51,990000000000033,DEMO-0033,Demo Vehicle 0033,Demo Fleet,Branch-10,Truck,DEMO-TRACKER,MOVING,OFF,ON,ON,33,69,201,100363,0,-1.100033,36.700099,Mock Yard 10,,2026-05-21T10:34:45,2026-05-21T10:34:45,26,12.3,93,11,0.3,68,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0033,Test,User,TAG-0033,VINDEMO00000033,640,2,20033,533,1,demo-user,1133
2026-05-21T10:34:58,990000000000034,DEMO-0034,Demo Vehicle 0034,Demo Fleet,Branch-11,Truck,DEMO-TRACKER,STOP,ON,ON,ON,34,82,218,100374,0,-1.100034,36.700102,Mock Yard 11,,2026-05-21T10:35:50,2026-05-21T10:35:50,27,12.4,94,12,0.4,69,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0034,Test,User,TAG-0034,VINDEMO00000034,640,2,20034,534,0,demo-user,1134
2026-05-21T10:35:05,990000000000035,DEMO-0035,Demo Vehicle 0035,Demo Fleet,Branch-12,Truck,DEMO-TRACKER,MOVING,ON,ON,OFF,35,95,235,100385,0,-1.100035,36.700105,Mock Yard 12,,2026-05-21T10:36:55,2026-05-21T10:36:55,28,12.5,95,8,0.5,70,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0035,Test,User,TAG-0035,VINDEMO00000035,640,2,20035,535,1,demo-user,1135
2026-05-21T10:36:12,990000000000036,DEMO-0036,Demo Vehicle 0036,Demo Fleet,Branch-13,Truck,DEMO-TRACKER,STOP,OFF,OFF,ON,36,108,252,100396,0,-1.100036,36.700108,Mock Yard 13,,2026-05-21T10:37:00,2026-05-21T10:37:00,20,12.6,96,9,0.6,71,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0036,Test,User,TAG-0036,VINDEMO00000036,640,2,20036,536,0,demo-user,1136
2026-05-21T10:37:19,990000000000037,DEMO-0037,Demo Vehicle 0037,Demo Fleet,Branch-14,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,37,121,269,100407,0,-1.100037,36.700111,Mock Yard 14,,2026-05-21T10:38:05,2026-05-21T10:38:05,21,12.7,97,10,0.7,72,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0037,Test,User,TAG-0037,VINDEMO00000037,640,2,20037,537,1,demo-user,1137
2026-05-21T10:38:26,990000000000038,DEMO-0038,Demo Vehicle 0038,Demo Fleet,Branch-15,Truck,DEMO-TRACKER,STOP,ON,ON,ON,38,134,286,100418,0,-1.100038,36.700114,Mock Yard 15,,2026-05-21T10:39:10,2026-05-21T10:39:10,22,12.8,98,11,0.8,73,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0038,Test,User,TAG-0038,VINDEMO00000038,640,2,20038,538,0,demo-user,1138
2026-05-21T10:39:33,990000000000039,DEMO-0039,Demo Vehicle 0039,Demo Fleet,Branch-16,Truck,DEMO-TRACKER,MOVING,OFF,ON,ON,39,147,303,100429,0,-1.100039,36.700117,Mock Yard 16,,2026-05-21T10:40:15,2026-05-21T10:40:15,23,12.9,99,12,0.9,74,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0039,Test,User,TAG-0039,VINDEMO00000039,640,2,20039,539,1,demo-user,1139
2026-05-21T10:40:40,990000000000040,DEMO-0040,Demo Vehicle 0040,Demo Fleet,Branch-17,Truck,DEMO-TRACKER,STOP,ON,OFF,OFF,40,160,320,100440,0,-1.100040,36.700120,Mock Yard 17,,2026-05-21T10:41:20,2026-05-21T10:41:20,24,12.0,60,8,0.2,75,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0040,Test,User,TAG-0040,VINDEMO00000040,640,2,20040,540,0,demo-user,1140
2026-05-21T10:41:47,990000000000041,DEMO-0041,Demo Vehicle 0041,Demo Fleet,Branch-18,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,41,173,337,100451,0,-1.100041,36.700123,Mock Yard 18,,2026-05-21T10:42:25,2026-05-21T10:42:25,25,12.1,61,9,0.3,76,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0041,Test,User,TAG-0041,VINDEMO00000041,640,2,20041,541,1,demo-user,1141
2026-05-21T10:42:54,990000000000042,DEMO-0042,Demo Vehicle 0042,Demo Fleet,Branch-19,Truck,DEMO-TRACKER,STOP,OFF,ON,ON,42,186,354,100462,0,-1.100042,36.700126,Mock Yard 19,,2026-05-21T10:43:30,2026-05-21T10:43:30,26,12.2,62,10,0.4,77,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0042,Test,User,TAG-0042,VINDEMO00000042,640,2,20042,542,0,demo-user,1142
2026-05-21T10:43:01,990000000000043,DEMO-0043,Demo Vehicle 0043,Demo Fleet,Branch-20,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,43,199,11,100473,0,-1.100043,36.700129,Mock Yard 20,,2026-05-21T10:44:35,2026-05-21T10:44:35,27,12.3,63,11,0.5,78,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0043,Test,User,TAG-0043,VINDEMO00000043,640,2,20043,543,1,demo-user,1143
2026-05-21T10:44:08,990000000000044,DEMO-0044,Demo Vehicle 0044,Demo Fleet,Branch-21,Truck,DEMO-TRACKER,STOP,ON,OFF,ON,44,212,28,100484,0,-1.100044,36.700132,Mock Yard 21,,2026-05-21T10:45:40,2026-05-21T10:45:40,28,12.4,64,12,0.6,79,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0044,Test,User,TAG-0044,VINDEMO00000044,640,2,20044,544,0,demo-user,1144
2026-05-21T10:45:15,990000000000045,DEMO-0045,Demo Vehicle 0045,Demo Fleet,Branch-22,Truck,DEMO-TRACKER,MOVING,OFF,ON,OFF,45,225,45,100495,0,-1.100045,36.700135,Mock Yard 22,,2026-05-21T10:46:45,2026-05-21T10:46:45,20,12.5,65,8,0.7,35,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0045,Test,User,TAG-0045,VINDEMO00000045,640,2,20045,545,1,demo-user,1145
2026-05-21T10:46:22,990000000000046,DEMO-0046,Demo Vehicle 0046,Demo Fleet,Branch-23,Truck,DEMO-TRACKER,STOP,ON,ON,ON,46,238,62,100506,0,-1.100046,36.700138,Mock Yard 23,,2026-05-21T10:47:50,2026-05-21T10:47:50,21,12.6,66,9,0.8,36,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0046,Test,User,TAG-0046,VINDEMO00000046,640,2,20046,546,0,demo-user,1146
2026-05-21T10:47:29,990000000000047,DEMO-0047,Demo Vehicle 0047,Demo Fleet,Branch-24,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,47,251,79,100517,0,-1.100047,36.700141,Mock Yard 24,,2026-05-21T10:48:55,2026-05-21T10:48:55,22,12.7,67,10,0.9,37,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0047,Test,User,TAG-0047,VINDEMO00000047,640,2,20047,547,1,demo-user,1147
2026-05-21T10:48:36,990000000000048,DEMO-0048,Demo Vehicle 0048,Demo Fleet,Branch-01,Truck,DEMO-TRACKER,STOP,OFF,OFF,ON,48,264,96,100528,0,-1.100048,36.700144,Mock Yard 01,,2026-05-21T10:49:00,2026-05-21T10:49:00,23,12.8,68,11,0.2,38,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0048,Test,User,TAG-0048,VINDEMO00000048,640,2,20048,548,0,demo-user,1148
2026-05-21T10:49:43,990000000000049,DEMO-0049,Demo Vehicle 0049,Demo Fleet,Branch-02,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,49,277,113,100539,0,-1.100049,36.700147,Mock Yard 02,,2026-05-21T10:50:05,2026-05-21T10:50:05,24,12.9,69,12,0.3,39,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0049,Test,User,TAG-0049,VINDEMO00000049,640,2,20049,549,1,demo-user,1149
2026-05-21T10:50:50,990000000000050,DEMO-0050,Demo Vehicle 0050,Demo Fleet,Branch-03,Truck,DEMO-TRACKER,STOP,ON,ON,OFF,50,290,130,100550,0,-1.100050,36.700150,Mock Yard 03,,2026-05-21T10:51:10,2026-05-21T10:51:10,25,12.0,70,8,0.4,40,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0050,Test,User,TAG-0050,VINDEMO00000050,640,2,20050,550,0,demo-user,1150
2026-05-21T10:51:57,990000000000051,DEMO-0051,Demo Vehicle 0051,Demo Fleet,Branch-04,Truck,DEMO-TRACKER,MOVING,OFF,ON,ON,51,303,147,100561,0,-1.100051,36.700153,Mock Yard 04,,2026-05-21T10:52:15,2026-05-21T10:52:15,26,12.1,71,9,0.5,41,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0051,Test,User,TAG-0051,VINDEMO00000051,640,2,20051,551,1,demo-user,1151
2026-05-21T10:52:04,990000000000052,DEMO-0052,Demo Vehicle 0052,Demo Fleet,Branch-05,Truck,DEMO-TRACKER,STOP,ON,OFF,ON,52,316,164,100572,0,-1.100052,36.700156,Mock Yard 05,,2026-05-21T10:53:20,2026-05-21T10:53:20,27,12.2,72,10,0.6,42,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0052,Test,User,TAG-0052,VINDEMO00000052,640,2,20052,552,0,demo-user,1152
2026-05-21T10:53:11,990000000000053,DEMO-0053,Demo Vehicle 0053,Demo Fleet,Branch-06,Truck,DEMO-TRACKER,MOVING,ON,ON,ON,53,329,181,100583,0,-1.100053,36.700159,Mock Yard 06,,2026-05-21T10:54:25,2026-05-21T10:54:25,28,12.3,73,11,0.7,43,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0053,Test,User,TAG-0053,VINDEMO00000053,640,2,20053,553,1,demo-user,1153
2026-05-21T10:54:18,990000000000054,DEMO-0054,Demo Vehicle 0054,Demo Fleet,Branch-07,Truck,DEMO-TRACKER,STOP,OFF,ON,ON,54,342,198,100594,0,-1.100054,36.700162,Mock Yard 07,,2026-05-21T10:55:30,2026-05-21T10:55:30,20,12.4,74,12,0.8,44,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0054,Test,User,TAG-0054,VINDEMO00000054,640,2,20054,554,0,demo-user,1154
2026-05-21T10:55:25,990000000000055,DEMO-0055,Demo Vehicle 0055,Demo Fleet,Branch-08,Truck,DEMO-TRACKER,MOVING,ON,ON,OFF,55,355,215,100605,0,-1.100055,36.700165,Mock Yard 08,,2026-05-21T10:56:35,2026-05-21T10:56:35,21,12.5,75,8,0.9,45,OFF,OFF,OFF,CLOSED,CLOSED,CLOSED,CLOSED,OFF,Driver0055,Test,User,TAG-0055,VINDEMO00000055,640,2,20055,555,1,demo-user,1155
